Model,Accuracy,Precision,Recall,F1,ROC-AUC
Random Forest,0.935,0.9083,0.982,0.9437,0.9561
KNN,0.8692,0.9138,0.8438,0.8774,0.9275
Logistic Regression,0.8525,0.8875,0.8408,0.8635,0.9216
