Model,FPR,TPR,Threshold
Logistic Regression,0.0,0.0,inf
Logistic Regression,0.0,0.00045024763619990995,0.9997708512863452
Logistic Regression,0.0,0.00945520036019811,0.9991226848763549
Logistic Regression,0.0005621135469364812,0.00945520036019811,0.9991058066894088
Logistic Regression,0.0005621135469364812,0.017559657811796487,0.9986267400083626
Logistic Regression,0.0011242270938729624,0.017559657811796487,0.9986102002940279
Logistic Regression,0.0011242270938729624,0.02296262944619541,0.9983354582455608
Logistic Regression,0.0016863406408094434,0.02296262944619541,0.9983292591657688
Logistic Regression,0.0016863406408094434,0.025213867627194957,0.9981471326013246
Logistic Regression,0.0022484541877459247,0.025213867627194957,0.9980900815150346
Logistic Regression,0.0022484541877459247,0.02656461053579469,0.9978720195377011
Logistic Regression,0.002810567734682406,0.02656461053579469,0.9978490881410168
Logistic Regression,0.002810567734682406,0.027915353444394417,0.9976589928205908
Logistic Regression,0.003372681281618887,0.027915353444394417,0.9976557885945851
Logistic Regression,0.003372681281618887,0.03962179198559208,0.996959935996194
Logistic Regression,0.0039347948285553686,0.03962179198559208,0.9969459095909335
Logistic Regression,0.0039347948285553686,0.04682575416479064,0.9964511862136612
Logistic Regression,0.004496908375491849,0.04682575416479064,0.9964420700680561
Logistic Regression,0.004496908375491849,0.07339036470058533,0.9944442883955105
Logistic Regression,0.00505902192242833,0.07339036470058533,0.9944381462270945
Logistic Regression,0.00505902192242833,0.07474110760918505,0.9943781802013248
Logistic Regression,0.005621135469364812,0.07474110760918505,0.994370332131249
Logistic Regression,0.005621135469364812,0.07609185051778478,0.9943379474450802
Logistic Regression,0.006183249016301293,0.07609185051778478,0.9943005633452777
Logistic Regression,0.006183249016301293,0.07654209815398469,0.9942862080681945
Logistic Regression,0.006745362563237774,0.07654209815398469,0.9942109953944522
Logistic Regression,0.006745362563237774,0.08419630796938316,0.9938088503544794
Logistic Regression,0.007307476110174255,0.08419630796938316,0.9937902636983319
Logistic Regression,0.007307476110174255,0.09185051778478164,0.9932794575195371
Logistic Regression,0.007869589657110737,0.09185051778478164,0.9932675570316533
Logistic Regression,0.007869589657110737,0.09995497523638001,0.9927452370283886
Logistic Regression,0.008431703204047217,0.09995497523638001,0.9927204864972539
Logistic Regression,0.008431703204047217,0.13732552904097253,0.9893445511845952
Logistic Regression,0.008993816750983699,0.13732552904097253,0.9892977513573507
Logistic Regression,0.008993816750983699,0.1409275101305718,0.9889704072672812
Logistic Regression,0.00955593029792018,0.1409275101305718,0.9889509869084652
Logistic Regression,0.00955593029792018,0.1535344439441693,0.9877474812420155
Logistic Regression,0.01011804384485666,0.1535344439441693,0.9874757078066216
Logistic Regression,0.01011804384485666,0.1539846915803692,0.9873118800361106
Logistic Regression,0.010680157391793142,0.1539846915803692,0.9872708036820053
Logistic Regression,0.010680157391793142,0.16434038721296712,0.9859224988215146
Logistic Regression,0.011242270938729624,0.16434038721296712,0.9858309659517591
Logistic Regression,0.011242270938729624,0.16524088248536695,0.9857822181443803
Logistic Regression,0.011804384485666104,0.16524088248536695,0.9857437774206135
Logistic Regression,0.011804384485666104,0.1674921206663665,0.9855317523512545
Logistic Regression,0.012366498032602586,0.1674921206663665,0.9853926813458829
Logistic Regression,0.012366498032602586,0.17739756866276452,0.9841426508069787
Logistic Regression,0.012928611579539067,0.17739756866276452,0.9840966343364574
Logistic Regression,0.012928611579539067,0.1940567312021612,0.9819830771859611
Logistic Regression,0.013490725126475547,0.1940567312021612,0.9818107304706554
Logistic Regression,0.013490725126475547,0.1945069788383611,0.9817493985451712
Logistic Regression,0.014052838673412029,0.1945069788383611,0.9816061710435503
Logistic Regression,0.014052838673412029,0.2129671319225574,0.9784381176063673
Logistic Regression,0.01461495222034851,0.2129671319225574,0.9783815570450259
Logistic Regression,0.01461495222034851,0.22962629446195407,0.9763063820247941
Logistic Regression,0.01517706576728499,0.22962629446195407,0.9761855377920478
Logistic Regression,0.01517706576728499,0.2714993246285457,0.9699379842670546
Logistic Regression,0.015739179314221474,0.2714993246285457,0.9699195557788439
Logistic Regression,0.015739179314221474,0.28230526789734356,0.9684098159884025
Logistic Regression,0.016301292861157952,0.28230526789734356,0.9681844816417885
Logistic Regression,0.016301292861157952,0.28275551553354344,0.968167120733251
Logistic Regression,0.016863406408094434,0.28275551553354344,0.9681488058260396
Logistic Regression,0.016863406408094434,0.2886087348041423,0.966508433846758
Logistic Regression,0.017425519955030916,0.2886087348041423,0.9664927118565159
Logistic Regression,0.017425519955030916,0.2935614588023413,0.965129787120218
Logistic Regression,0.017987633501967398,0.2935614588023413,0.9648464803785861
Logistic Regression,0.017987633501967398,0.294912201710941,0.9646913186411337
Logistic Regression,0.01911186059584036,0.294912201710941,0.9643869162616893
Logistic Regression,0.01911186059584036,0.30481764970733904,0.9629653750934168
Logistic Regression,0.02023608768971332,0.30481764970733904,0.9625648309356803
Logistic Regression,0.02023608768971332,0.30526789734353893,0.962509778779384
Logistic Regression,0.020798201236649803,0.30526789734353893,0.9622959322231454
Logistic Regression,0.020798201236649803,0.3169743358847366,0.9596439883130244
Logistic Regression,0.021922428330522766,0.3169743358847366,0.9589652919025679
Logistic Regression,0.021922428330522766,0.32733003151733453,0.9569421720621755
Logistic Regression,0.022484541877459248,0.32733003151733453,0.9569343366536209
Logistic Regression,0.022484541877459248,0.3291310220621342,0.9564093101190106
Logistic Regression,0.02304665542439573,0.3291310220621342,0.9563229793512034
Logistic Regression,0.02304665542439573,0.34263845114813146,0.9515608317803628
Logistic Regression,0.023608768971332208,0.34263845114813146,0.9515519406741481
Logistic Regression,0.023608768971332208,0.3435389464205313,0.9515432777283465
Logistic Regression,0.02417088251826869,0.3435389464205313,0.951522168102715
Logistic Regression,0.02417088251826869,0.3444394416929311,0.9511516961580747
Logistic Regression,0.02473299606520517,0.3444394416929311,0.9508701469740386
Logistic Regression,0.02473299606520517,0.34533993696533094,0.9503717715169646
Logistic Regression,0.025295109612141653,0.34533993696533094,0.9501489692039488
Logistic Regression,0.025295109612141653,0.3475911751463305,0.9497024345984132
Logistic Regression,0.025857223159078135,0.3475911751463305,0.9496677609065901
Logistic Regression,0.025857223159078135,0.37685727149932463,0.9426141677746338
Logistic Regression,0.026419336706014616,0.37685727149932463,0.9425906411645731
Logistic Regression,0.026419336706014616,0.37820801440792434,0.9425085905349597
Logistic Regression,0.026981450252951095,0.37820801440792434,0.9424227318186839
Logistic Regression,0.026981450252951095,0.3903647005853219,0.9390026263717914
Logistic Regression,0.027543563799887576,0.3903647005853219,0.9389328683817909
Logistic Regression,0.027543563799887576,0.3944169293111211,0.9381335979127036
Logistic Regression,0.028105677346824058,0.3944169293111211,0.9379809203787883
Logistic Regression,0.028105677346824058,0.3993696533093201,0.9360561498980176
Logistic Regression,0.02866779089376054,0.3993696533093201,0.9359638702881943
Logistic Regression,0.02866779089376054,0.40387212967131925,0.9345090488887945
Logistic Regression,0.02922990444069702,0.40387212967131925,0.9344578733280771
Logistic Regression,0.02922990444069702,0.40432237730751913,0.9344421343001357
Logistic Regression,0.03035413153456998,0.40432237730751913,0.9339996250706516
Logistic Regression,0.03035413153456998,0.4061233678523188,0.9337345406853363
Logistic Regression,0.030916245081506463,0.4061233678523188,0.9337261480595819
Logistic Regression,0.030916245081506463,0.4083746060333183,0.9328470095950617
Logistic Regression,0.03147835862844295,0.4083746060333183,0.9323195853821836
Logistic Regression,0.03147835862844295,0.40882485366951826,0.9322940145017319
Logistic Regression,0.03204047217537943,0.40882485366951826,0.9322527099468524
Logistic Regression,0.03204047217537943,0.40927510130571815,0.932140150775751
Logistic Regression,0.032602585722315905,0.40927510130571815,0.9320973315067981
Logistic Regression,0.032602585722315905,0.41062584421431786,0.9315755722698902
Logistic Regression,0.03316469926925239,0.41062584421431786,0.931183685763629
Logistic Regression,0.03316469926925239,0.4119765871229176,0.9305419852535776
Logistic Regression,0.03372681281618887,0.4119765871229176,0.930482778931687
Logistic Regression,0.03372681281618887,0.41873030166591624,0.9281315777549453
Logistic Regression,0.034288926363125354,0.41873030166591624,0.9281186834959854
Logistic Regression,0.034288926363125354,0.4254840162089149,0.9250065426217565
Logistic Regression,0.03485103991006183,0.4254840162089149,0.9249220088271998
Logistic Regression,0.03485103991006183,0.43178748311571363,0.9227819050722449
Logistic Regression,0.03541315345699832,0.43178748311571363,0.9226605876937274
Logistic Regression,0.03541315345699832,0.4322377307519136,0.9225144062482078
Logistic Regression,0.035975267003934795,0.4322377307519136,0.9223833671206364
Logistic Regression,0.035975267003934795,0.43674020711391265,0.9214761753321952
Logistic Regression,0.03709949409780776,0.43674020711391265,0.9206454238869397
Logistic Regression,0.03709949409780776,0.44034218820351195,0.9187264091976984
Logistic Regression,0.03766160764474424,0.44034218820351195,0.9187047527050431
Logistic Regression,0.03766160764474424,0.45114813147230975,0.91600833123423
Logistic Regression,0.03822372119168072,0.45114813147230975,0.9159693863899072
Logistic Regression,0.03822372119168072,0.4660063034669068,0.910963599474411
Logistic Regression,0.0387858347386172,0.4660063034669068,0.9109182812638087
Logistic Regression,0.0387858347386172,0.470058532192706,0.90967204205611
Logistic Regression,0.03934794828555368,0.470058532192706,0.9096000685244698
Logistic Regression,0.03934794828555368,0.4714092751013057,0.9091714825680701
Logistic Regression,0.039910061832490164,0.4714092751013057,0.909155285280515
Logistic Regression,0.039910061832490164,0.4817649707339037,0.9049364286112634
Logistic Regression,0.04047217537942664,0.4817649707339037,0.9047379840699143
Logistic Regression,0.04047217537942664,0.48581719945970286,0.9035886538880983
Logistic Regression,0.04103428892636313,0.48581719945970286,0.903566568884349
Logistic Regression,0.04103428892636313,0.4925709140027015,0.901362030192502
Logistic Regression,0.041596402473299605,0.4925709140027015,0.9012646474932947
Logistic Regression,0.041596402473299605,0.4934714092751013,0.9005502221293049
Logistic Regression,0.04272062956717257,0.4934714092751013,0.9000778045401271
Logistic Regression,0.04272062956717257,0.4961728950923008,0.8988730059252612
Logistic Regression,0.04328274311410905,0.4961728950923008,0.8983024658559929
Logistic Regression,0.04328274311410905,0.5024763619990995,0.8955446855143866
Logistic Regression,0.04384485666104553,0.5024763619990995,0.895378768680856
Logistic Regression,0.04384485666104553,0.5056280954524989,0.8941602873202111
Logistic Regression,0.045531197301854974,0.5056280954524989,0.8934257059074922
Logistic Regression,0.045531197301854974,0.5137325529040973,0.8902075631396574
Logistic Regression,0.04609331084879146,0.5137325529040973,0.889928810095296
Logistic Regression,0.04609331084879146,0.5155335434488969,0.8894382942658333
Logistic Regression,0.04665542439572794,0.5155335434488969,0.8894082874495233
Logistic Regression,0.04665542439572794,0.5159837910850968,0.8892568765464891
Logistic Regression,0.0477796514896009,0.5159837910850968,0.8887822790611808
Logistic Regression,0.0477796514896009,0.5177847816298965,0.8880517474645777
Logistic Regression,0.04834176503653738,0.5177847816298965,0.8878008785200275
Logistic Regression,0.04834176503653738,0.5191355245384962,0.8870215297377875
Logistic Regression,0.048903878583473864,0.5191355245384962,0.8862641054074849
Logistic Regression,0.048903878583473864,0.520036019810896,0.8858856464950872
Logistic Regression,0.04946599213041034,0.520036019810896,0.885855092811729
Logistic Regression,0.04946599213041034,0.5218370103556956,0.8852048512795556
Logistic Regression,0.05002810567734682,0.5218370103556956,0.884908575844736
Logistic Regression,0.05002810567734682,0.5339936965330933,0.8777579690959042
Logistic Regression,0.050590219224283306,0.5339936965330933,0.8777439208916061
Logistic Regression,0.050590219224283306,0.540297163439892,0.8738451302784095
Logistic Regression,0.05227655986509275,0.540297163439892,0.8731840426551788
Logistic Regression,0.05227655986509275,0.5416479063484917,0.8723521917901633
Logistic Regression,0.05283867341202923,0.5416479063484917,0.8723459642556394
Logistic Regression,0.05283867341202923,0.5434488968932913,0.8714106008658637
Logistic Regression,0.05340078695896571,0.5434488968932913,0.8713157210472765
Logistic Regression,0.05340078695896571,0.5479513732552904,0.8681027174783934
Logistic Regression,0.05396290050590219,0.5479513732552904,0.8678922986734592
Logistic Regression,0.05396290050590219,0.5583070688878884,0.8612820981151874
Logistic Regression,0.054525014052838675,0.5583070688878884,0.8612408116442053
Logistic Regression,0.054525014052838675,0.5646105357946871,0.8565464469010445
Logistic Regression,0.05508712759977515,0.5646105357946871,0.8563958866850788
Logistic Regression,0.05508712759977515,0.5673120216118865,0.8547575680824957
Logistic Regression,0.05564924114671164,0.5673120216118865,0.8545419142213143
Logistic Regression,0.05564924114671164,0.5736154885186853,0.8501826353470542
Logistic Regression,0.056211354693648116,0.5736154885186853,0.8500121999368846
Logistic Regression,0.056211354693648116,0.5763169743358847,0.8488006354196195
Logistic Regression,0.0567734682405846,0.5763169743358847,0.8486136965570307
Logistic Regression,0.0567734682405846,0.5776677172444845,0.8471134531039725
Logistic Regression,0.05789769533445756,0.5776677172444845,0.84684929402347
Logistic Regression,0.05789769533445756,0.5781179648806843,0.8467303189920344
Logistic Regression,0.05845980888139404,0.5781179648806843,0.8461801929877698
Logistic Regression,0.05845980888139404,0.5830706888788834,0.8414191020633118
Logistic Regression,0.05902192242833052,0.5830706888788834,0.8413687563959525
Logistic Regression,0.05902192242833052,0.5835209365150833,0.8412629517338609
Logistic Regression,0.059584035975267007,0.5835209365150833,0.8411624320356414
Logistic Regression,0.059584035975267007,0.5839711841512832,0.8404658807564291
Logistic Regression,0.060146149522203485,0.5839711841512832,0.839376134425334
Logistic Regression,0.060146149522203485,0.5862224223322827,0.8380061744410695
Logistic Regression,0.06070826306913996,0.5862224223322827,0.8379224931608825
Logistic Regression,0.06070826306913996,0.5893741557856821,0.8358484073248839
Logistic Regression,0.06127037661607645,0.5893741557856821,0.8356639858161288
Logistic Regression,0.06127037661607645,0.5911751463304817,0.8335236281801948
Logistic Regression,0.061832490163012926,0.5911751463304817,0.8335133698401661
Logistic Regression,0.061832490163012926,0.5974786132372805,0.8267361023038211
Logistic Regression,0.06239460370994941,0.5974786132372805,0.8260368790089173
Logistic Regression,0.06239460370994941,0.6015308419630797,0.8244886761394379
Logistic Regression,0.0629567172568859,0.6015308419630797,0.8244295669707574
Logistic Regression,0.0629567172568859,0.6046825754164791,0.8214665974377006
Logistic Regression,0.06351883080382237,0.6046825754164791,0.821438193135523
